title,url,description,stars,date
kairess/mental-health-chatbot,https://github.com/kairess/mental-health-chatbot,심리상담 정신건강 상담 챗봇. AI chatbot for psychology consultation.,55,"May 30, 2023, 1:23 AM UTC"
jahnavik186/AI-Mental-Health-Companion,https://github.com/jahnavik186/AI-Mental-Health-Companion,"An intelligent, interactive mental health companion that uses Large Language Models (LLMs) combined with RAG to provide context-aware mental",21,"Nov 19, 2025, 12:24 AM UTC"
PoyBoi/MindEase,https://github.com/PoyBoi/MindEase,AI based Mental Health Counsellor / Mental Health Assistant,45,"May 26, 2025, 12:52 PM UTC"
Shivam1337/MindCrafter,https://github.com/Shivam1337/MindCrafter,AI & ML Based Mental Health Diagnosis & Consulting App.,90,"Nov 25, 2022, 7:03 AM UTC"
RCTS-IIITH/AI-Assisted-Mental-Health-Screening-Application,https://github.com/RCTS-IIITH/AI-Assisted-Mental-Health-Screening-Application,"To expand the scope of existing mental health screening questionnaires by creating a Chat Bot styled testing application, allowing for en…",5,"Sep 4, 2025, 9:40 AM UTC"
dhrumilp12/Mental-Health-Companion,https://github.com/dhrumilp12/Mental-Health-Companion,"This app would provide mental health support through conversational AI, offering personalized advice, mood tracking, and mental health re…",25,"Oct 21, 2024, 1:46 PM UTC"
mujiyantosvc/Facial-Expression-Recognition-FER-for-Mental-Health-Detection-,https://github.com/mujiyantosvc/Facial-Expression-Recognition-FER-for-Mental-Health-Detection-,"Facial Expression Recognition (FER) for Mental Health Detection applies AI models like Swin Transformer, CNN, and ViT for detecting emot…",38,"Jan 30, 2025, 10:17 AM UTC"
SherazAsghar37/ai_mental_health,https://github.com/SherazAsghar37/ai_mental_health,,14,"Mar 23, 2025, 5:06 AM UTC"
galihru/MentalHealth,https://github.com/galihru/MentalHealth,A comprehensive mental health monitoring application using modern web technologies.,21,"Jun 8, 2026, 7:52 PM UTC"
Sanjana-Rajagopala/AI_Healthcare_Chatbot,https://github.com/Sanjana-Rajagopala/AI_Healthcare_Chatbot,Created a chatbot that acts as virtual healthcare assistant to patients with mental health problems.,26,"May 24, 2018, 6:38 PM UTC"
