title,url,description,stars,date
kairess/mental-health-chatbot,https://github.com/kairess/mental-health-chatbot,심리상담 정신건강 상담 챗봇. AI chatbot for psychology consultation.,55,"May 30, 2023, 1:23 AM UTC"
jahnavik186/AI-Mental-Health-Companion,https://github.com/jahnavik186/AI-Mental-Health-Companion,"An intelligent, interactive mental health companion that uses Large Language Models (LLMs) combined with RAG to provide context-aware mental",21,"Nov 19, 2025, 12:24 AM UTC"
PoyBoi/MindEase,https://github.com/PoyBoi/MindEase,AI based Mental Health Counsellor / Mental Health Assistant,45,"May 26, 2025, 12:52 PM UTC"
Shivam1337/MindCrafter,https://github.com/Shivam1337/MindCrafter,AI & ML Based Mental Health Diagnosis & Consulting App.,90,"Nov 25, 2022, 7:03 AM UTC"
RCTS-IIITH/AI-Assisted-Mental-Health-Screening-Application,https://github.com/RCTS-IIITH/AI-Assisted-Mental-Health-Screening-Application,"To expand the scope of existing mental health screening questionnaires by creating a Chat Bot styled testing application, allowing for en…",5,"Sep 4, 2025, 9:40 AM UTC"
dhrumilp12/Mental-Health-Companion,https://github.com/dhrumilp12/Mental-Health-Companion,"This app would provide mental health support through conversational AI, offering personalized advice, mood tracking, and mental health re…",25,"Oct 21, 2024, 1:46 PM UTC"
mujiyantosvc/Facial-Expression-Recognition-FER-for-Mental-Health-Detection-,https://github.com/mujiyantosvc/Facial-Expression-Recognition-FER-for-Mental-Health-Detection-,"Facial Expression Recognition (FER) for Mental Health Detection applies AI models like Swin Transformer, CNN, and ViT for detecting emot…",38,"Jan 30, 2025, 10:17 AM UTC"
SherazAsghar37/ai_mental_health,https://github.com/SherazAsghar37/ai_mental_health,,14,"Mar 23, 2025, 5:06 AM UTC"
galihru/MentalHealth,https://github.com/galihru/MentalHealth,A comprehensive mental health monitoring application using modern web technologies.,21,"Jun 8, 2026, 9:29 PM UTC"
Sanjana-Rajagopala/AI_Healthcare_Chatbot,https://github.com/Sanjana-Rajagopala/AI_Healthcare_Chatbot,Created a chatbot that acts as virtual healthcare assistant to patients with mental health problems.,26,"May 24, 2018, 6:38 PM UTC"
VaibhaveS/MentalHealthWithAI,https://github.com/VaibhaveS/MentalHealthWithAI,"divorcePRED offers an end to end solution from predicting the state of marriage with the help of machine learning, finding like minded pe…",6,"Jun 26, 2022, 10:19 AM UTC"
ZenYukti/OpenMindWell,https://github.com/ZenYukti/OpenMindWell,"AI-powered mental health support platform with anonymous chat, crisis detection, and peer support - Self-hosted & open source by Team Zen…",47,"Feb 17, 2026, 6:20 PM UTC"
arunprasad-04/-Emotion-AI-Mental-Health-Chatbot,https://github.com/arunprasad-04/-Emotion-AI-Mental-Health-Chatbot,,26,"Apr 30, 2026, 6:38 PM UTC"
Mercytopsy/AI-Health-Supervisor-Agent,https://github.com/Mercytopsy/AI-Health-Supervisor-Agent,"A multi-agent AI system designed to provide personalized health guidance across fitness, diet, and mental wellness",19,"Apr 28, 2025, 5:06 AM UTC"
HemantKumar01/SoulScript,https://github.com/HemantKumar01/SoulScript,Personal AI Mental Health Therapist,6,"Sep 30, 2025, 7:55 AM UTC"
yogyagit/IvyHacks2024_MentalHealth,https://github.com/yogyagit/IvyHacks2024_MentalHealth,ThinkWell AI: A real-time mental health support app leveraging AI-driven CBT techniques for personalized therapy sessions.,10,"Apr 27, 2024, 10:36 PM UTC"
AryanNayak/Muse,https://github.com/AryanNayak/Muse,An AI Mental Health Chatbot,11,"Nov 18, 2020, 3:28 PM UTC"
23W-GBAC/RHYAN2,https://github.com/23W-GBAC/RHYAN2,"Mental health ,cancer and AI",5,"Mar 12, 2024, 11:07 AM UTC"
revolutionarybukhari/ai-calling-agent,https://github.com/revolutionarybukhari/ai-calling-agent,"I have used technologies like Twilio , openai , pinecone , Mongodb, to make an automated calling agent for both inbound and outbound call…",46,"Feb 6, 2026, 12:42 AM UTC"
Rahul-Sahani04/Mental-Health-AI-Assistant,https://github.com/Rahul-Sahani04/Mental-Health-AI-Assistant,Mental Support Chatbot App: A Streamlit application implementing a Mental Support Chatbot powered by Google Generative AI. Engage in conv…,6,"Feb 7, 2024, 2:47 PM UTC"
neilgebhard/ai-therapist,https://github.com/neilgebhard/ai-therapist,A personal AI therapist to help you with your mental health,26,"Nov 29, 2025, 5:19 AM UTC"
amrita-thakur/mental-healthcare-chatbot,https://github.com/amrita-thakur/mental-healthcare-chatbot,This repository contains a mental healthcare chatbot application,5,"Jan 22, 2025, 8:27 AM UTC"
alvii147/HachikosJournal,https://github.com/alvii147/HachikosJournal,AI-based application for mental health journal writing with virtual assistant,9,"Aug 6, 2024, 1:42 PM UTC"
mithatco/mental_health_multiagent,https://github.com/mithatco/mental_health_multiagent,💡 Resources for the CIKM 2025 paper: Trustworthy AI Psychotherapy: Multi-Agent LLM Workflow for Counseling and Explainable Mental Disorde…,13,"Aug 22, 2025, 1:15 PM UTC"
siddythings/system-prompts-and-models-of-ai-tools,https://github.com/siddythings/system-prompts-and-models-of-ai-tools,"A comprehensive collection of AI system prompts, tools, and implementations across various domains including healthcare, voice AI, mental h…",49,"May 15, 2025, 4:56 PM UTC"
BinaryStudioAcademy/bsa-2023-calmpal,https://github.com/BinaryStudioAcademy/bsa-2023-calmpal,AI-powered mental health application,3,"Oct 16, 2023, 11:36 AM UTC"
Sakaar-Sen/MentalHealthBot,https://github.com/Sakaar-Sen/MentalHealthBot,An AI-powered mental health chatbot created using the LangChain framework.,12,"Oct 19, 2023, 6:33 PM UTC"
galihru/facemind,https://github.com/galihru/facemind,application uses computer vision and machine learning to analyze mental health based on facial expressions. The app includes login system…,35,"Jun 8, 2026, 9:02 PM UTC"
starlightknown/AIry_pages,https://github.com/starlightknown/AIry_pages,hackOn 2.0 Hack for mental health and awareness and voice hack category,8,"Mar 14, 2022, 5:34 PM UTC"
Bhargav1144/Mental_Health_Chatbot,https://github.com/Bhargav1144/Mental_Health_Chatbot,"A Streamlit-based AI chatbot offering compassionate mental health support using models like Mistral, LLaMA, DeepSeek, and Cohere. It prov…",5,"Mar 4, 2025, 6:23 PM UTC"
SohaibAamir28/Personalized_Mental_Healthcare-Chatbot,https://github.com/SohaibAamir28/Personalized_Mental_Healthcare-Chatbot,"The app is an AI-powered chatbot that offers personalized mental healthcare support to users, providing evidence-based advice and helping…",8,"Dec 21, 2025, 2:48 AM UTC"
Saurabhtbj1201/MindSpace-Digital-Mental-Health-Support-Platform,https://github.com/Saurabhtbj1201/MindSpace-Digital-Mental-Health-Support-Platform,"The platform combines cutting-edge technology including AI, IoT, and data analytics to provide personalized mental health support, resour…",5,"Jun 6, 2026, 9:52 AM UTC"
shreyasharma04/HealthChatbot,https://github.com/shreyasharma04/HealthChatbot,"... used are diagnostics, patient engagement outside medical facilities, and mental health. In our major we are working on diagnostic. 📃 …",127,"Feb 21, 2022, 8:29 AM UTC"
behtar-foundation/Sukoon,https://github.com/behtar-foundation/Sukoon,We want to build open-source solutions and standards for using AI to solve mental health challenges. The goal is to apply DPI knowledge a…,27,"Jun 13, 2025, 9:35 AM UTC"
rrishi0309/Mental-Health-AI-Companion,https://github.com/rrishi0309/Mental-Health-AI-Companion,"An AI-powered Mental Health Companion leveraging Retool and GPT-4o to deliver empathetic, anonymous, and supportive conversations for str…",5,"Mar 13, 2025, 10:24 AM UTC"
aiproduct-creators/mental-health-ai,https://github.com/aiproduct-creators/mental-health-ai,,2,"Jan 25, 2024, 12:16 PM UTC"
Sukoon-A-Mental-Wellness-Platform/website,https://github.com/Sukoon-A-Mental-Wellness-Platform/website,"AI-powered mental health platform with dream analysis, virtual therapy, and student wellness tools.",14,"May 5, 2025, 6:40 AM UTC"
TAHIR0110/ThereForYou,https://github.com/TAHIR0110/ThereForYou,"ThereForYou: Your mental health ally. Kai, our AI assistant, offers compassionate support. Track your mood trends, find solace in a secur…",89,"Feb 3, 2025, 3:25 PM UTC"
Anil951/Early-detection-of-mental-health,https://github.com/Anil951/Early-detection-of-mental-health,"This project develops a predictive model to identify early signs of mental health issues in adolescents using social media activity, scho…",7,"Nov 13, 2024, 12:21 PM UTC"
Shaurya1907/PYSCHECARE-main,https://github.com/Shaurya1907/PYSCHECARE-main,"About PsycheCare - A comprehensive AI-powered mental health platform. Features include 24/7 emotional support via an intelligent chatbot,…",4,"Jun 8, 2026, 4:42 PM UTC"
demoslayer/Mental-health-Chatbot-MERN-STACK,https://github.com/demoslayer/Mental-health-Chatbot-MERN-STACK,The Mental Health Chatbot is a MERN stack web app that provides users with mental health support through an AI-powered chatbot. Users can…,13,"Oct 6, 2024, 10:11 AM UTC"
zenn-ai/zen,https://github.com/zenn-ai/zen,Zen - AI Mental Health Counselor,7,"Dec 22, 2023, 1:07 AM UTC"
annu12340/Haven,https://github.com/annu12340/Haven,"Winner of the international MongoDB AI Hackathon, Haven is an AI-powered solution empowering women in abusive situations with discreet h…",30,"Dec 29, 2024, 6:21 AM UTC"
djpapzin/MentalWellnessChatbot,https://github.com/djpapzin/MentalWellnessChatbot,"AI chatbot for mental health advice using Streamlit, LangChain, and Llama 2 by Meta. Retrieves info from PDFs and offers real-time responses",4,"Oct 13, 2023, 11:26 AM UTC"
CAS-SIAT-XinHai/awesome-ai-mental-health,https://github.com/CAS-SIAT-XinHai/awesome-ai-mental-health,,3,"Dec 13, 2025, 10:11 AM UTC"
1809gaurav/mind-mitra,https://github.com/1809gaurav/mind-mitra,"MindMitra — An open-source mental health platform with AI-powered mood tracking, emotion analysis, journaling and SOS emergency alerts.",4,"Jun 8, 2026, 2:05 PM UTC"
h8-hackathon/livy,https://github.com/h8-hackathon/livy,Online Counseling App for Mental Health,8,"Mar 10, 2023, 12:23 AM UTC"
Elliot-D-Hill/abcd,https://github.com/Elliot-D-Hill/abcd,Leveraging the largest US study of adolescent neurodevelopment to train AI models for longitudinal mental health prediction,12,"Nov 26, 2025, 6:12 PM UTC"
njacobsonlab/Pretrained-Actigraphy-Transformer,https://github.com/njacobsonlab/Pretrained-Actigraphy-Transformer,"This is the GitHub associated with the paper ""AI Foundation Models for Wearable Movement Data in Mental Health Research""",13,"May 30, 2026, 6:46 PM UTC"
emirgocen03/mental-health-text-classification,https://github.com/emirgocen03/mental-health-text-classification,"🧠 Multi-model machine learning approach for mental health classification from social media text. Compares BERT, LSTM, and SVM models achi…",5,"Jun 15, 2025, 5:52 PM UTC"
