title,url,description,stars,language,last_updated
kairess/mental-health-chatbot,https://github.com/kairess/mental-health-chatbot,심리상담 정신건강 상담 챗봇.AIchatbot for psychology consultation.,55,Jupyter Notebook,N/A
jahnavik186/AI-Mental-Health-Companion,https://github.com/jahnavik186/AI-Mental-Health-Companion,"An intelligent, interactivementalhealthcompanion that uses Large Language Models (LLMs) combined with RAG to provide context-awaremental",21,Python,N/A
PoyBoi/MindEase,https://github.com/PoyBoi/MindEase,AIbasedMentalHealthCounsellor /MentalHealthAssistant,45,Python,N/A
Shivam1337/MindCrafter,https://github.com/Shivam1337/MindCrafter,AI& ML BasedMentalHealthDiagnosis & Consulting App.,90,Dart,N/A
RCTS-IIITH/AI-Assisted-Mental-Health-Screening-Application,https://github.com/RCTS-IIITH/AI-Assisted-Mental-Health-Screening-Application,"To expand the scope of existingmentalhealthscreening questionnaires by creating a Chat Bot styled testing application, allowing for en…",5,JavaScript,N/A
mujiyantosvc/Facial-Expression-Recognition-FER-for-Mental-Health-Detection-,https://github.com/mujiyantosvc/Facial-Expression-Recognition-FER-for-Mental-Health-Detection-,"Facial Expression Recognition (FER) forMentalHealthDetection appliesAImodels like Swin Transformer, CNN, and ViT for detecting emot…",38,Python,N/A
dhrumilp12/Mental-Health-Companion,https://github.com/dhrumilp12/Mental-Health-Companion,"This app would providementalhealthsupport through conversationalAI, offering personalized advice, mood tracking, andmentalhealthre…",25,JavaScript,N/A
SherazAsghar37/ai_mental_health,https://github.com/SherazAsghar37/ai_mental_health,N/A,14,Dart,N/A
galihru/MentalHealth,https://github.com/galihru/MentalHealth,A comprehensivementalhealthmonitoring application using modern web technologies.,21,HTML,N/A
Sanjana-Rajagopala/AI_Healthcare_Chatbot,https://github.com/Sanjana-Rajagopala/AI_Healthcare_Chatbot,Created a chatbot that acts as virtual healthcare assistant to patients withmentalhealthproblems.,26,N/A,N/A
